Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6 ,Topic 7
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,hearts that may be pierced with misery?s groans Sent from a fainting spirit,anatomy,violence,suffering,sounds,consumption,religion,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,prisoner to darkness!,incarceration,darkness,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",king,Male,"by night outstripped,",darkness,movement,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,There?s weight within keeps down my soul and me.,weight,spatial,preservation,religion,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",king,Male,One full strength more Makes our pains happy;,quantities,physical attributes,suffering,emotions,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,O that astonishment had left me dead!,mental faculty & state,privation,death,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,"Shame, sitting on my brow, weighs down my head.",emotions,physical activities,anatomy,weight,spatial,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 4",lapyrus,Male,Even thus the guilt of my abhorr?d sin Flashed in my face when I beheld the Queen.,judiciary,emotions,religion,nature,anatomy,sensations,politics
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 5",chorus,Male,the arms of death,anatomy,death,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 2, S 5",chorus,Male,the same hour Had been his grave that gives his life new power.,time,death,life,physical attributes,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,There?s not a hair to choose betwixt me and a pander,anatomy,mental faculty & state,sexuality,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,I could e?en gnaw feathers now to think of his downy felicity. ,food,animals,sleeping,emotions,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"a dairy wench, the very cream of my fortunes? ",food,women,social status,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"that he should bathe in nectar [food],",cleaning,food,religion,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"and I most unfortunate in [bath] buttermilk,",suffering,cleaning,food,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",mazeres,Male,"have I any power in thee? Do I move there, or any part of me Flow in thy blood?",social relations,spatial,movement,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"Touch me then, [?] And try my mettle [metal].",sensations,economics,materials,character traits & nature,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",mazeres,Male,that fellow's my disease,social relations,medicine,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",mazeres,Male,He?s [enemy] like a prison chain shook in my ears.,social relations,incarcetation,sounds,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",mazeres,Male,My honours and my dignities are dreams,social status,recognition,mental faculty & state,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"I shall, like many a bad lawyer, run my conscience upon the greatest fee:",judiciary,ethics,economics,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,He?s [counselor is] the King?s bosom:,politics,anatomy,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,he [counselor] blows his thoughts into him [the king]. ,politics,breathing,mental faculty & state,spatial,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,I had rather be torn with whirlwinds than fall into any of their [king and mazeres] furies.,violence,nature,physical activities,politics,emotions,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"play the knave, lay open this venery, betray him",theatre,social status,discovering,sexuality,social relations,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",mazeres,Male,Play honours to thy hand.,games & sport,recognition,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",tymethes ,Male,and here?s blood apt enough to believe him.,anatomy,character traits & nature,mental faculty & state,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",tymethes & roxano ,Male,Ay but you?ll play the better jumper [sex] of the two; I shall not jump so near as you by a handful.,games & sport,physical activities,sexuality,spatial,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,folly is blind.,mental faculty & state,deformities,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"he loveth none With a true heart, that affects more than one.",emotions,privation,anatomy,sexuality,quantities,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"the better sports taste best i?th? night,",games & sports,food,darkness,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 1",roxano ,Male,"your sportive gallants? prize: Before they?ll lose their sport [sex], they?ll lose their eyes.",games & sport,social status,economics,sexuality,anatomy,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,O my fear-fighting blood! ,emotions,violence,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",third servant,Male,For we are bound in duty to your bounty.,incarceration,devotion,character traits & nature,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,I pour my life into your breasts; ,food,life,spatial,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,There [breasts] my doom or safety rests.,anatomy,destruction,danger,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,your hearts but just.,anatomy,character traits & nature,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,Like jewels all your vows I?ll wear.,economics,language,clothes,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,from our head to feet he?s so officious.,anatomy,devotion,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 2",queen,Female,No clock so true as love that strikes in fear. ,time,ethics,emotions,violece,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,How far lack I yet of my blind pilgrimage?,spatial,privation,deformities,religion,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,I walk in a vault all underground.,movement,nature,spatial,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,And now your long lost eyes again are found.,time,privation,anatomy,discovering,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,"Though it be night, ?tis morning to that night Which brought [accompanied] me hither.",darkness,light,social relations,spatial,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,these dumb tokens witness.,deformities,domestic,language,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,"Lecher, now beware [treason]. Securely sit and fearless quaff and eat: You?ll find sour sauce still, after your sweet meat.",sexuality,danger,politics,emotions,food,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,They [women] never do their easy sex more wrong Than when they [women] venture fame upon man?s tongue.,women,time,etiquette,danger,recognition,men,anatomy
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,pleasure?s feast.,sexuality,food,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,to woman The darkest path love treads is clear,women,darkness,spatial,emotions,movement,cleaning,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,"he plays The devil in a visor,",theatre,religion,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,"great men kill As flatterers stab, who laugh when they mean ill.",social status,violence,recognition,etiquette,ethics,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,My vengeance speaks me happy,violence,language,emotions,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",lady,Female,"doth commend This [the wine] to your heart,",recognition,food,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,my abus?d wrath Pursues thy ruin in this dangerous path.,deception,emotions,hunting,destruction,danger,spatial,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,see her mind.,sensations,mental faculty & state,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,His thoughts are sweeter than the very meats before him.,mental faculty & state,food,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,"The wind and tide serve, [?] you have lighted Upon a sea of pleasure. Here?s your sail, sir, And your top streamer: a fair-wrought shirt and nightcap.",nature,social relations,movement,sexuality,nautical,clothes,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",tymethes ,Male,voyage of this [sexual encounter].,geography,sexuality,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",roxano ,Male,No clouds eclipse her bounty; she shines clear.,nature,concealment,character traits & nature,light,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,This night would make one blush thorough this visor.,darkness,facial expressions,theatre,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,"Like lightning in a tempest her lust shows, Or drinking drunk in thunder,",nature,sexuality,appearance,food,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,burning fury,fire,emotions,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,seal [the tyrant's] his vengeance on his reeking breast.,heraldry,politics,violence,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 3, S 3",mazeres,Male,The next [vile] shall change him into fire and air. ,ethics,transformation,fire,nature,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,when mine eyes Received their liberty I was ne?er the nearer [to knowing].,anatomy,social relations,time,spatial,mental faculty & state,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",mazeres,Male,a riper time Shall bring him forth.,agriculture,time,discovering,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tyrant,Male,dim her own lustre to give him grace?,darkness,light,social relations,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,Heart of ill fortune!,anatomy,mystical,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,here?s a heart within will not be quiet.,anatomy,spatial,feelings,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,The eye is the sweet feeder of the soul;,anatomy,food,religion,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,"When the taste wants, that keeps the memory whole.",food,feelings,preservation,mental faculty & state,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",tymethes ,Male,"not to see her, what doth it want of hell?",sensations,women,privation,religion,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",roxano,Male,he?ll run through horror?s jaws To catch a sin. ,movement,spatial,emotions,anatomy,hunting,religion,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 1",roxano,Male,"to o?ertake a virtue He softly paces, like a man that?s sent Some tedious, dark, unprofitable journey.",hunting,ethics,movement,consumption,darkness,economics,geography
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,"a beggar, Dead to all fortunes, honours or their hopes;",economics,death,social status,recognition,emotions,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,setting by All modesty of blood thou begged?st a jewel of him.,privation,character traits & nature,anatomy,economics,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",mazeres,Male,He [rival] is some ape: ,social relations,animals,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",mazeres,Male,"the husk falls from him now, And you shall know his inside.",nature,consumption,mental faculty & state,spatial,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",mazeres,Male,He?s received this night Into her bosom.,sexuality,spatial,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,I feel a whirlwind in me Ready to tear the frame of my mortality.,feelings,nature,spatial,violence,anatomy,life,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",mazeres,Male,Tainted my hearing with lascivious sounds;,cleaning,sensations,sexuality,sounds,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,?Tis springtide in my gall. All my blood?s bitter,nature,anatomy,food,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,I?m lost by violence through all my senses.,privation,violence,sensations,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,I?m blind with rage.,deformities,emotions,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,"I tread in air, and see no foot nor path; ",movement,nature,sensations,anatomy,spatial,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",tyrant ,Male,"I?ve lost myself, yet cannot lose my wrath.",privation,character traits & nature,emotions,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",amphridote,Female,"I hate him, As beauty abhors years, ",emotions,appearance,time,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",amphridote,Female,"[I hate him, As] or usurers charity.",emotions,economics,assistance,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",amphridote,Female,"a leper Full of sin?s black infection, foul adultery.",medicine,religion,colors,ethics,sexuality,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 2",amphridote,Female,"starve in my disdain,",food,derision,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"a league With desolate darkness, and disconsolate fancies.",politics,social relations,darkness,emotions,mental faculty & state,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,There is no music in my soul,music,religion,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"all my servants? faiths Sleep in my bounty, ",social status,devotion,sleeping,character traits & nature,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,and no bribes nor threats Can wake ?em from my safety?,economics,violence,social status,sleeping,danger,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"Yet heaviness, like a tyrant, proud in night, Usurps my power, rules where it hath no right.",weight,politics,character traits & nature,darkness,social relations,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",roxano,Male,Pleasures once tasted makes the next seem worse.,sexuality,food,appearance,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,Cunning discoverer of an unknown beauty As subtle as her plot. ,deception,discovering,mental faculty & state,appearance,character traits & nature,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,Play the flatterer,theatre,recognition,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,"With this [light] I taste of that forbidden fruit Which, as she says, death follows;",light,food,judiciary,death,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,"that can be in man?s wish comprised Is in thy love immortal, in thy graces!",men,mental faculty & state,emotions,death,character traits & nature,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,I am not the same flesh; my touch is altered. ,anatomy,sensations,transformation,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,misery of affection built on breath!,suffering,affection,architecture,breathing,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"[drawn in pieces] betwixt love and fear,",violence,spatial,emotions,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,Her wisdom is as pleasing as her beauty.,character traits & nature,feelings,appearance,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,"affection hastier born, With more true art and less suspicion.",affection,speed,reproduction,quantities,mental faculty & state,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,"I do repent me, With heart as penitent as a man dissolving,",religion,anatomy,consumption,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tymethes,Male,"my sins, born with me, and born of me, ",religion,reproduction,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,Fly to thy wish!,animals,mental faculy & state,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,Man in a twinkling is in earth and heaven.,humanity,light,nature,religion,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,sent him forth [to death] like a celestial champion.,commands,death,religion,social relations,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,to taste more deaths than one.,food,quantities,death,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"Had any warning fast?ned on thy senses,",danger,adhesion,sensations,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,for our fears we should our comforts kill!,emotions,feelings,violence,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,"I?m confounded everlastingly, Damned to a thousand tortures in that sight",mental faculty & state,time,religion,quantities,violence,sensations,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,A subtlety no devil can imitate.,deception,religion,art,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,The deed [murder] is not so monstrous in itself As is the art which ponders home the deed.,violence,deformities,deception,mental faculty & state,domestic,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,those left hands give me; Thou hast no right at all.,spatial,anatomy,ethics,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,"Mystical strumpet,",mystical,sexuality,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,I looked for gracious lightning from thy cheeks,discovering,religion,nature,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,here lies a witness ?gainst myself Sooner believed than all their hir?d faiths.,death,judiciary,mental faculty & state,economics,devotion,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,The lingering execution of your look; ,violence,sensations,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,[Let me not] live tormented in that brow.,resistance,life,violence,facial expressions,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,All witnesses to this [adultery] were but dead flesh; ,judiciary,sexuality,death,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,All [the deceptive devices] stick in mine eye together. ,deception,violence,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,Thou shalt not die as long as this [corpse] is meat. ,death,time,food,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,Thou killed?st a buck which thou thyself shalt eat.,violence,animals,food,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,Here?s deer struck dead with thy own hand; ?Tis venison for thy own tooth. ,animals,violence,anatomy,food,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,Thou know?st the relish: A dearer place hath been thy taster. ,mental faculty & state,food,economics,spatial,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,with a thousand deaths presented him Ere he had tasted one.,quantities,death,appearance,time,food,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,"If there be hell for sins that men commit, Marry a strumpet and she keeps the pit. ",religion,men,matrimony,sexuality,incarceration,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,My ominous dreams and fearful dreadfulness Promised this issue long before ?twas born.,ethics,mental faculty & state,emotions,language,familial,time,reproduction
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,"I were full safe had I Roxano?s [servant] life, Which in this stream I fish for.",danger,social status,life,nature,hunting,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,Under the earth were safer and far happier.,spatial,nature,danger,emotions,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,prize your glories at so mean a rate?,economics,recognition,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,betrayed me to the fury Of my tempestuous unappeas?d lord.,social relations,emotion,nature,matrimony,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,"for that guilt, Though ?twere as far to?s heart as ?tis to th? hilt.",judiciary,spatial,anatomy,weapons,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,Such things [villainies] must never creep about the earth To poison the right use of service ,ethics,movement,nature,medicine,etiquette,devotion,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",queen,Female,Here?s a perplex?d breast,mental faculty & state,anatomy,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,"I threat not angels, ",danger,religion,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",mazeres ,Male,though I smite the devil:,violence,religion,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 4, S 3",tyrant,Male,"no other food thy taste shall have, Till in thy bowels those corpse find a grave.",food,anatomy,death,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"Hath thy fate proved so flinty, so perverse, To the sweet spring both of thy youth and hopes?",mystical,materials,ethics,nature,life's cycle,emotions,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,his own plot shall shower Upon his bosom like a falling tower.,deception,nature,anatomy,architecture,destruction,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"run my hate Into the sin before it grew to act [sex], And killed it ere't had knotted.",violence,emotions,religion,time,transformation,sexuality,clothes
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,In manly temper and considerate blood: went he the way of loyalty or your quiet,men,character traits & nature,anatomy,movement,spatial,devotion,feelings
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"What makes it [treason] heinous, burdensome and monstrous, Fills you with such distractions, ",politics,emotions,suffering,deformities,mental faculty & state,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"([treason] heinous, burdensome and monstrous) breeds such furies In your incens?d breast,",politics,suffering,emotions,deformities,reproduction,fire,anatomy
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,Thy late service Is warm still in our memory,devotion,temperature,mental faculty & state,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,tortures ?bove the thought of tyranny.,violence,spatial,mental faculty & state,politics,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,?Tis such a high born rapture that the soul Partakes it only.,social status ,feelings,religion,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",amphridote ,Male,Was there none fit to practise tyranny on But whom our heart elected?,etiquette,politics,anatomy,mental faculty & state,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,at his everlasting home.,time,accommodation,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,I wrought a bitter pill that quickly choked him.,labor,food,medicine,violence,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",amphridote ,Male,He brought to light a monster and his lust.,discovering,light,deformities,sexuality,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"So strumpet-like in your behaviour to me, ",sexuality,etiquette,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",amphridote ,Male,There is a champion fights for me unseen;,social relation,violence,appearance,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"Indeed no harlot But has her champion, besides bawd and varlet. ",sexuality,social relation,social status,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"I?m sick of thy society, poison to mine eyes.",medicine,social relations,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,?ware that woman that can shift her heart!,danger,woman,transformation,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"Thunder? And thou marrow-melting blast,  ",nature,anatomy,consumption,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",zenarchus,Male,"Quick-wing?d lightning,",speed,animals,nature,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,"A generous, free, and charitable mind Keeps in thy bosom, ",character traits & nature,social relations,economics,mental faculty & state,anatomy,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,You waste the virtue of your serious eye,consumption,ethics,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,your eyes are serious suitors,anatomy,judiciary,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",king,Male,Your bounty every way conquers poor strangers.,character traits & nature,spatial,military,suffering,social relations,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,"her wishes Brought forth a monster, a detested issue, Poisoning the thoughts ",mental faculty & state,reproduction,deformities,emotions,familial,medicine,mental faculty & state
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 5, S 1",tyrant,Male,"Set on fire by the abuse,",fire,deception,,,,,
