Play,Genre,Year,Playwright,Act and Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"my reputation Which is held pretious in the eies of Rome, Shall be no shelter to the least intent Of loosenes, ",recognition,anatomy,politics,accomodation,mental faculty & state,sexuality,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"though no Romane by my nose, ",ethnicity,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,I neuer spent the least lip labour on mistris Mirable,economics,anatomy,labor,women,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,say so much behind my backe; ,language,spatial,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"in stead of plucking my coat, pluck my skin ouer my eares & turne me away naked, ",violence,clothes,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"were euer worth such a iewell, would I might die a begger, ",time,economics,death,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,I shall euen spoile one of the best faces in Rome with crying at your vnkindnes.,destruction,anatomy,politics,sounds,character traits & nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"you are like to haue [dinner] but cold cheare,",food,temperature,emotions,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,My man's [the servant] a Rhetorician,social status,language,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"I ha not the power to part from you, without a relish, a note, a tone, we must get an aire betwixt vs.",social relations,privation,food,music,nautre,spatial,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"euerlastingly bound to your honour,",time,incarcertation,social status,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"I am now forsaking the world and the Diuill,",privation,nature,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"Her tongue not too lowd nor cocket,",anatomy,sounds,character traits & nature,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"a soft lip that entangles,",sexuality,anatomy,hunting,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"house of sin, Nor place that hath beene bawdy.",architecture,religion,spatial,sexuality,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"thou hast to our yoake, Supprest the necke of a proud nation",agriculture,violence,anatomy,character traits & nature,politics,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,who? we here receiue into our bosom,recognition,spatial,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male,VVe enterchange a royall heart with Sextus [brother] and graft vs in your loue.,social relations,social status,anatomy,familial,agriculture,emotions,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"this our religious league, Shall be caru'd firme in characters of brasse, And liue for euer to succeeding times.",religion,politics,art,language,materials,life,time
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"Sextus [prince] Generall all our army, who hath proved his fortunes And found them full of sauour, ",politics,military,judiciary,mystical,discovering,recognition,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,bodie of the Camp,anatomy,military,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"Tis an obiect [the camp], to please Porsennaes [king] Eie. ",military,feelings,politics,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"This sight's [camp] more pleasing to Porsennaes [king] eye, Then all our rich Attalia pompous feasts,",military,feelings,politics,anatomy,economics,geography,food
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,we are borne a soldier: And in our nunnage suckt the milke of warre.,reproduction,military,life's cycle,food,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"the merciles gulfe of confusion Should swallow them, ",character traits & nature,nature,mental faculty & state,food,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,supply Of men and Armes,economics,military,weapons,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"You are our Royall brother,",politics,familial,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Porsenna,Male,"shall demand Vse of our loue, tis ready stor'de for you, Euen in our Kingly breast.",commands,devotion,economics,politics,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,Of two remote dominions make one heart.,quantities,spatial,politics,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Soldier 1 ,Male,the earth must be our [soldiers'] bed.,nature,military,sleep,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Hostile incursions become a prison ,violence,incarceration,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,I cannot talke till my bloud be mingled with this bloud of grapes:,language,anatomy,adhesion,food,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"came this hie-German health as double as his double double ruffe,",ethnicity,medicine,quantities,clothes,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"were it as deep as his [German] ruffe, let the health go round about the board as his band goes round about his necke,",spatial,ethnicity,clothes,medicine,food,anatomy,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"I am no more afraid of this dutch fauchio?, the? I should be of the heathenish inuention.",emotions,ethnicity,clothes,religion,discovering,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,what are women But tortures ,women,violence,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"if [women be] faire, Th'are like rich vessels ful of poysnous drugs,",women,appearance,economics,food,medicine,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"(if [women be] faire), Or like black serpents arm'd with golden scales,",women,appearance,colors,animals,weapons,economics,anatomy
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"a womans cha?pion, and shall vnhorse thee else.",women,social relations,equestrian,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"women [virtues] enflame the appetite, ",women,character traits & nature,fire,food,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"flax wil not be toucht with fire, Nor they [women] be won to what they most desire.",materials,sensations,fire,women,games & sport,sexuality,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"[women] Some Grapes are sweete and in the Gardens grow, ",women,food,agriculture,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Others [women] vnprunde, turne wild neglected so.",women,agriculture,nature,privation,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"[women] The purest oare containes both Gold and drosse, The one all gaine, the other nought but losse.",women,cleaning,materials,economics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,[women] The other angels and sweete featurde saints.,women,religion,appearance,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Oh this [vertuous] were a braue controuersie for a Iury of weomen to arbitrate,character traits & nature,judiciary,women,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"It is now dead of night, ",death,darkness,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,be thou but as prouident ore the army as we […] expeditious in our iorney,economics,military,movement,speed,geography,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"that the Masters eie is from his charge,",social status,anatomy,labor,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"We banish all excesse til his [husband] returne,",politics,etiquette,matrimony,social relations,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"thus wiues should doe, In absence of their Lords be husband too.",matrimony,privation,social status,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"They [women] weare so much corke vnder their heeles, they cannot choose but loue to caper.",women,clothes,materials,spatial,mental faculty & state,emotions,joviality
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"The richest entertainment liues with vs,",economics,etiquette,life,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"If a white wench may proue a black swan, ",colors,women,animals,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Nor can my loue wrong what my thought admire.,emotions,ethics,mental faculty & state,recognition,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Then our impertiall harts and iudging eies, This verdit gives, ",anatomy,judiciary,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,the ioies and the delights of many thousand nights meet all in one to make my Lucrece [wife] happy.,sexaulity,quantities,darkness,spatial,matrimony,emotions,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"we cannot rest, Til our hot lust imbosome in thy brest.",sleep,temperature,sexuality,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"the charme of sleepe, Cease (Seize) with his downy wings vpon my eies,",mystical,sleep,hunting,animals,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"idlenes, [...] Begets ranck lust, and vertue [beats away].",character traits & nature,reproduction,sexuality,ethics,violence,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,in this gift thou dost thy bed betray.,economics,domestic,social relations,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"This ring […], hath opt our gates to you,",economics,spatial,architecture,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,Without that [the ring] key you had not entred here.,economics,domestic,spatial,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Not loue-sicke, but loue lunatike, loue-mad,",emotions,medicine,mental faculty & state,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"I am all fire, impatience,",fire,character traits & nature,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"my bloud Boyles on my heart, with loose and sensuall thoughts.",anatomy,temperature,sexuality,mental faculty & state,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"And such a reuerence hath fate giuen her brow, ",character traits & nature,mystical,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"a kind of blasphemy, To haue any wanton word harsh in her eares,",religion,sexuality,language,sounds,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Tis force, not suite, must purchase this rich treasure.",violence,courting,economics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Indeed I cannot feed, but on thy face, ",food,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Thou [woman] art the banquet that my thoughts embrace.,women,food,mental faculty & state,affection,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Thy vertue, grace and fame I must enioy, ",ethics,character traits & nature,recognition,sexuality,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,Though in the purchase [of enjoyment] I all Rome destroy.,economics,sexuality,politics,destruction,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,And drowne her vertues in the iuice of grapes.,violence,character traits & nature,food,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,my example Might in my seruants breed encouragement so to offend,ethics,social status,reproduction,assistance,derision,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"her imperfections like a torrent With violence breakes vpon me, and at once Inuert and swallow all thats good in me.",character traits & nature,nature,violence,destruction,food,ethics,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Preposterous fates, what mischiefes you inuolue Vpon a captiue Prince left to the fury Of all grand mischiefe,",deformities,mysical,ethics,spatial,politics,emotions,violence
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"hath the grandame world Yet smothred such a strange abortiue wonder, That from her vertues should arise my sinne:",familial,nature,violence,mental faculty & state,reproduction,religion,character traits & nature
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"My hart all firie lust, ",anatomy,fire,sexuality,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,my soule all treason.,religion,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"This ring speakes for me,",economics,language,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"in the night the obdure gates are lesse kind,",darkness,resistance,architecture ,character traits & nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"my hart's all sadnesse,",anatomy,emotions,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,My waking soule I giue whilst my thoughts sleepe,sleep,religion,exchanges,mental faculty & state,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"not too loud, imagine we were now going on the ropes with egs at our heeles, ",sounds,movement,theatre,food,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"What an asse art thou [servingman] to wonder,",animals,social status,mental faculty & state,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Servingman,Male,"Ime as drousie as a doremouse, ",sleep,animals,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Servingman,Male,my head's as heavy as though I had a nightcap of lead on:,anatomy,weight,clothes,materials,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,my eies begin to glew themselues together,anatomy,adhesion,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"for the two vertues of eating and sleeping, there's neuer a Roman spirit vnder the cope, can put me downe.",character traits & nature,food,sleep,ethnicity,spatial,nature,games & sport
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,euerie man sneake into his kennell,men,movement,animals,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Night, be as secret as thou art close, as close as thou art black and darke, ",darkness,concealment,spatial,colors,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"thou ominous Quuene Of Tenebrous, ",ethics,politics,darkness,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"silence, make this fatall hower, as true to Rape as thou hast made it kinde To murder and harsh mischiefe",sounds,death,time,devotion,sexuality,character traits & nature,violence
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Cinthea, maske thy cheeke, all you sparkling Elamentall fires,",myth,concealment,anatomy,light,fire,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"[Cinthea] Choke vp your beauties in prodigious fogges, ",myth,violence,appearance,mystical,nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Or be [Cinthea] extinct in some thick vaparous clowde, Least you beholde my practise [rape]:",myth,destruction,nature,sensations,sexuality,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Vpon a blacke aduenture, on a deede [rape] That must wound vertue, and make beautie bleede.",colors,geography,rape,violence,ethics,appearance,injuries
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Of fate, thou hast vsurpt such power ouer man, That where thou pleadst thy will, no mortall can [resist].",mystical,politics,humanity,judiciary,mental faculty & state,life,resistance
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,black mischiefe hurrie me the way.,colors,ethics,movement,spatial,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"No iarre of clocke, [wakes this charm'd silence],",sounds,time,sleep,mystical,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"no ominous hatefull howle Of any starting Hound, [wakes this charm'd silence], ",ethics,emotions,sounds,animals,mystical,sleep,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"no hoarse cough breath'd from the entrals Of any drowsie Groom, wakes this charm'd silence, ",sounds,breathing,anatomy,social status,mystical,sleep,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"this generall silence forward stil, To make thy luste liue, all thy vertues kill.",sounds,movement,sexuality,life,character traits & nature,violence,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"beneath these Curtaines lyes, That bright enchantresse that hath daz'd my eies.",spatial,concealment,sleep,mystical,light,anatomy,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"With thought once to defile thy innocent sleepe,",mental faculty & state,sexuality,character traits & nature,sleep,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"in this brest, such [lustful] thoughts could finde no place,  ",anatomy,sexuality,mental faculty & state,discovering,spatial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,[lustful thoughts] pay with treason her kind hospitall grace:,sexuality,mental faculty & state,economics,politics,character traits & nature,social relations,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"But I am lust-burnt, ",sexuality,fire,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"there's no suspitious ear, That can bewray this deede [rape]",character trait & nature,anatomy,discovering,sexuality,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"awake me, rid me from this terror,",sleep,privation,emotions,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Pardon this dreame, ",judiciary,mental faculty & state,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"my thoughts are all on fire,",mental faculty & state,fire,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"thou must imbrace death, or desire,",affection,death,sexuality,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"I'me all impatience, violence and rage, And saue thy bed, nought ca? this fire asswage",character traits & nature,violence,emotions,sexuality,privation,fire,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,By a God you sweare to doe a devils deede [rape],religion,language,sexuality,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"I keepe vnstained, The vnceaz'd honour I haue yet maintaind.",preservation,cleaning,hunting,sexuality,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"lets the least harsh noise Iarre in my eare,",sounds,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,thy adulterate bed.,sexuality,domestic,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"If all your gratious and best generous thoughts Be not exilde your heart,",character traits & nature,mental faculty & state,politics,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"this [vertues of a woman] once defilde, Not all the Ocean waues can purifie, Or wash my staine away,",character traits & nature,women,sexuality,nature,cleaning,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,to foil That [chastity] which the radiant splender of the Sunne Cannot make bright againe,violence,sexuality,light,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"my teares! Oh thinke them pearled drops, destilled from the heart Of soule chaste Lucrece: ",anatomy,economics,alchemy,religion,sexuality,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"thinke them [tears] Orators, To pleade the cause of absent Colatine, your friend",anatomy,language,judiciary,privation,social relations,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"I loose the honour of my name and blood,",privation,recognition,language,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"You win the worlds shame,",recognition,politics,etiquette,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"who would pleasure, buy at such deere rate",sexuality,economics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Nor can you terme it pleasure: for what's sweet, Where force & hate, iarre and contention meete?",language,sexuality,food,violence,emotions,sounds,spatial
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,that [wrong] labour's not worth all your strife.,ethics,labor,economics,suffering,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,all the world cannot make me amends.,nature,ethics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,But let these chast teares quench your fiery lust.,character traits & nature,anatomy,consumption,sexuality,fire,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"teares, contending with my fire, ",anatomy,violence,fire,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"[tears] Quench not my heate, but make it climbe more higher:",anatomy,destruction,light,physical activities,spatial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,[Rome] Shal blot thy death with scandal from my tungue.,politics,cleaning,death,etiquette,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Servingman,Male,I had better bee out of my life then in his displeasure,death,feelings,spatial,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"this sorrow Which yet is without blemish, what hath past [rape] Is hid from the worldes eye,",emotions,ethics,sexuality,concealment,politics,anatomy,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,pull not on my head The wrath of Rome,violence,anatomy,emotions,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"thy fame is without blot,",recognition,cleaning,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"thou only hast [possession] my hart,",economics,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"let mischiefe frown, With all his terror arm'd with ominous fates, ",ethics,facial expressions,emotions,weapons,mystical,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"To all their spleenes a welcome Ile affoord, With this bold hart, strong hand, and my good sword.",anatomy,greetings,economics,character traits & nature,weapons,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,be my Lark and raise me with thy early notes.,animals,sleep,music,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"he is sicke of the sullens, ",medicine,emotions,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"may I dye, not like a Roman, but a runagate.",death,ethnicity,social status,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"poore Pompy so ouer-labourde as I haue bin, ",historical,labor,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"I haue spurd my horse such a question, that hee's scarce able to wig or wag his taile for an answere, ",equestrian,education,physical activities,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,with expeditious wings weel'e fly.,movement,animals,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,tune my humour to strange strains of mirth:,music,mental faculty & state,suffering,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,leaue me to the truest grief of heart That euer entred any Matrons brest,privation,emotions,anatomy,spatial,matrimony,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Maid,Female,why doe you staine Your modest cheekes with these offensiue teares?,cleaning,character traits & nature,anatomy,derision,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,oh why Suffer you [Gods] such inhumane massacre On harmeles vertue? ,suffering,religion,ethics,violence,character traits & nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"[Gods] forgiue white innocence, Armor of proofe gainst sinne: ",religion,judiciary,colors,character traits & nature,weapons,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"oh you powerfull Gods […] by oppression Kill Vertue quite, & guerdon base transgression?",religion,politics,violence,ethics,economics,judiciary,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"to this shame be born, To be a staine to women, natures scorne? ",etiquette,reproduction,cleaning,women,nature,derision,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,in that blush my guilt thou didst betray,facial expressions,judiciary,social relations,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Disgrace, no time, no age can wipe away",etiquette,time,cleaning,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Being no more a woman, I am now Deuote to death, and an inhabitant Of th'other world",women,devotion,death,accomodation,religion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"these eyes must euer weepe, Till fate hath closde them with eternall sleepe.",anatomy,emotions,mystical,spatial,sleep,time,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Why is your eye deiect and drown'd in sorrow?,anatomy,feelings,violence,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"Why doost thou hide thy face? & with thy hand Darken those eies that were my Sunnes of joy, To make my pleasures florish in the Spring?",concealment,anatomy,darkness,nature,emotions,feelings,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"you are hem'd in with your friendes, Girt in a pale of safety, environ'd and cirkled in a fortresse of your kindred,",spatial,social relations,geography,danger,architecture ,familial,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Let not those drops fall fruiteles to the ground, ",resistance,anatomy,destruction,agriculture,nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Nor let your sighes ad to the sencelesse winde.,resistance,sounds,sensations,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,My reputation mangled,recognition,violence,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Strange steps are found in my adulterate bed,",social relations,movement,discovering,sexuality,domestic,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"though my thoughts be white as innocence, ",mental faculty & state,colors,judiciary,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"Yet is my body soild with lust burnd sinne,",anatomy,cleaning,sexuality,fire,religion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"in dead of night,",death,darkness,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"to make me hated […], Rauisht and kild me at once",emotions,sexuality,death,time,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Vow & sweare, as you hope meed for merrit from the Gods ",language,emotions,food,recognition,religion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"[Vow & sweare] Or feare reward for sinne, from deuils below:",language,emotions,economics,religion,spatial,,
