(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
night's black agents to their preys do rouse.,night's black agents to their preys do rouse.,1 1 1 0 0 1 0 1,darkness,colors,social relations,hunting,sleep,,
[murderer] O slave!,[murderer] O slave!,1 0 1,violence,social status,,,,,
the hearty welcome.,the hearty welcome.,0 1 1,anatomy,greeting,,,,,
play the humble host.,play the humble host.,1 0 1 1,theatre,character traits & nature,social relations,,,,
my heart speaks they are welcome.,my heart speaks they are welcome.,0 1 1 0 0 1,anatomy,language,greeting,,,,
they encounter thee with their hearts' thanks.,they encounter thee with their hearts' thanks.,0 1 0 0 0 1 1,social relations,anatomy,recognition,,,,
"Then comes my fit again: I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air:","Then comes my fit again I had else been perfect, Whole as the marble, founded as the rock, As broad and general as the casing air",0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 1,medicine,character traits & nature,materials,danger,nature,spatial,
"I am cabined, cribbed, confined, bound in To saucy doubts and fears.","I am cabined, cribbed, confined, bound in To saucy doubts and fears.",0 0 1 1 1 1 0 0 1 1 0 1,incarceration,derision,mental faculty & state,emotions,,,
"There the grown serpent lies; the worm that's fled Hath nature that in time will venom breed, ","There the grown serpent lies the worm that's fled Hath nature that in time will venom breed, ",0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 1,animals,death,danger,character traits & nature,time,violence,reproduction
[the worm has] No teeth for the present. ,[the worm has] No teeth for the present. ,1 1 1 0 1 0 0 1,animals,anatomy,time,,,,
"the feast is sold That is not often vouch'd, ","the feast is sold That is not often vouch'd, ",0 1 0 1 0 0 0 0 1,food,economics,etiquette,,,,
"From thence, the sauce to meat is ceremony; ","From thence, the sauce to meat is ceremony ",0 0 0 1 0 1 0 1,food,etiquette,,,,,
"good digestion wait on appetite, And health on both!","good digestion wait on appetite, And health on both!",0 1 1 1 1 0 1 0 0,food,social relations,medicine,,,,
"had we now our country's honour roof'd, ","had we now our country's honour roof'd, ",0 0 0 0 1 1 1,politics,social status,architecture,,,,
The fit is momentary; upon a thought He will again be well: ,The fit is momentary upon a thought He will again be well ,0 1 0 1 0 0 1 0 0 0 0 1,medicine,time,mental faculty & state,,,,
This [imagining] is the very painting of your fear: ,This [imagining] is the very painting of your fear ,1 1 0 0 0 1 0 0 1,mental faculty & state,art,emotions,,,,
This [imagining] is the air-drawn dagger ,This [imagining] is the air drawn dagger ,1 1 0 0 1 1 1,mental faculty & state,nature,weapons,,,,
"these flaws and starts, Imposters to true fear, ","these flaws and starts, Imposters to true fear, ",0 1 0 1 1 0 0 1,nature,emotions,deception,,,,
"[these flaws and starts] would well become A woman's story at a winter's fire, Authorized by her grandam.","[these flaws and starts] would well become A woman's story at a winter's fire, Authorized by her grandam.",1 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1,nature,emotions,etiquette,women,language,domestic,life's cycle
"If charnel-houses and our graves must send Those that we bury back, our monuments Shall be the maws of kites.","If charnel houses and our graves must send Those that we bury back, our monuments Shall be the maws of kites.",0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1,death,architecture,anatomy,animals,,,
quite unmanned in folly,quite unmanned in folly,0 1 0 1,men,mental faculty & state,,,,,
"Blood hath been shed ere now, i' the olden time, Ere humane statute purged the gentle weal;","Blood hath been shed ere now, i' the olden time, Ere humane statute purged the gentle weal",1 0 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1,anatomy,violence,time,humanity,judiciary,medicine,politics
murders have been perform'd Too terrible for the ear:,murders have been perform'd Too terrible for the ear,1 0 0 0 0 1 0 0 1,violence,emotions,anatomy,,,,
"I have a strange infirmity, which is nothing","I have a strange infirmity, which is nothing",0 0 0 1 1 0 0 1,mental faculty & state,medicine,privation,,,,
let the earth hide thee [ghost]!,let the earth hide thee [ghost]!,0 0 1 1 1 1,nature,concealment,mystical,,,,
"Approach thou [ghost] like the rugged Russian bear, The arm'd rhinoceros, or the Hyrcan tiger;","Approach thou [ghost] like the rugged Russian bear, The arm'd rhinoceros, or the Hyrcan tiger",1 1 1 0 0 0 1 1 0 1 1 0 0 1 1,movement,mystical,ethnicity,animals,weapons,,
my firm nerves Shall never tremble:,my firm nerves Shall never tremble,0 0 1 0 1 1,anatomy,time,emotions,,,,
"If trembling I inhabit then, protest me The baby of a girl.","If trembling I inhabit then, protest me The baby of a girl.",0 1 0 1 0 1 0 0 1 0 0 1,emotions,accommodation,language,life's cycle,women,,
"shadow! Unreal mockery, hence! [Ghost]","shadow! Unreal mockery, hence! [Ghost]",1 0 1 0 1,darkness,derision,mystical,,,,
"Can such things [ghosts] be, and overcome us like a summer's cloud,","Can such things [ghosts] be, and overcome us like a summer's cloud,",0 1 1 1 0 0 1 0 0 0 1 1,mystical,violence,nature,,,,
"It [murder] will have blood; they say, blood will have blood","It [murder] will have blood they say, blood will have blood",1 1 0 0 1 0 0 1 0 0 1,violence,anatomy,,,,,
The secret'st man of blood. ,The secret'st man of blood. ,0 1 1 1 1,concealment,men,anatomy,,,,
"I am in blood Stepped in so far, that should I wade no more, Returning were as tedious as go o'er:","I am in blood Stepped in so far, that should I wade no more, Returning were as tedious as go o'er",0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1,anatomy,movement,spatial,consumption,,,
"Strange things I have in head, that will to hand, Which must be acted ere they may be scanned.","Strange things I have in head, that will to hand, Which must be acted ere they may be scanned.",1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1,mental faculty & state,anatomy,physical activities,time,,,
"You lack the season of all natures, sleep.","You lack the season of all natures, sleep.",0 1 0 1 0 0 1 1,privation,food,character traits & nature,sleep,,,
To trade and traffic with Macbeth In riddles and affairs of death;,To trade and traffic with Macbeth In riddles and affairs of death,0 1 0 1 0 0 0 1 0 1 1 1,economics,mystical,death,,,,
security Is mortals' chiefest enemy.,security Is mortals' chiefest enemy.,1 0 1 0 1,danger,life,social relations,,,,
"the two delinquents tear, That were the slaves of drink and thralls of sleep?","the two delinquents tear, That were the slaves of drink and thralls of sleep?",0 0 1 1 0 0 0 1 0 1 0 1 0 1,judiciary,violence,social status,food,sleep,,
twould have anger'd any heart alive To hear the men deny't [murder],twould have anger'd any heart alive To hear the men deny't [murder],0 0 1 0 1 1 0 1 0 0 1 1,emotions,anatomy,life,sensations,judiciary,violence,
the malevolence of fortune nothing Takes from his high respect:,the malevolence of fortune nothing Takes from his high respect,0 1 0 1 1 1 0 0 0 1,ethics,mystical,privation,devotion,,,
"upon his [king's] aid to wake Northumberland,","upon his [king's] aid to wake Northumberland,",0 1 1 1 0 1 1,politics,assistance,sleep,,,,
"Free from our feasts and banquets bloody knives,","Free from our feasts and banquets bloody knives,",1 0 0 1 0 1 1 1,social relations,food,violence,weapons,,,
our suffering country Under a hand accursed!,our suffering country Under a hand accursed!,0 1 1 0 0 1 1,suffering,politics,spatial,anatomy,religion,,
You'll rue the time That clogs me with this answer.',You'll rue the time That clogs me with this answer.',0 1 0 1 0 1 0 0 0 1,emotions,time,hindrance,language,,,
"a charm of powerful trouble, Like a hell-broth boil","a charm of powerful trouble, Like a hell broth boil",0 1 0 0 1 0 0 1 1 1,mystical,suffering,religion,food,temperature,,
I commend your pains; ,I commend your pains ,0 1 0 1,recognition,suffering,,,,,
"about the cauldron sing, Like elves and fairies in a ring,","about the cauldron sing, Like elves and fairies in a ring,",0 0 1 1 0 1 0 1 1 1 1,food,music,mystical,spatial,,,
untie the winds and let them fight Against the churches; ,untie the winds and let them fight Against the churches ,1 0 1 0 0 0 1 0 0 1,games & sport,nature,violence,religion,,,
the yeasty waves Confound and swallow navigation up;,the yeasty waves Confound and swallow navigation up,0 1 1 1 0 1 1 0,food,nature,mental faculty & state,nautical,,,
though the treasure Of nature's germens tumble all together even till destruction sicken; ,though the treasure Of nature's germens tumble all together even till destruction sicken ,0 0 1 0 1 1 1 0 0 0 0 1 1,economics,nature,reproduction,destruction,medicine,,
"Had I three ears, I'd hear thee [apparition].","Had I three ears, I'd hear thee [apparition].",0 0 1 1 0 1 1 1,quantities,anatomy,sensations,mystical,,,
"I'll make assurance double sure, And take a bond of fate:","I'll make assurance double sure, And take a bond of fate",0 0 1 1 1 0 0 0 1 0 1,feelings,quantities,judiciary,mystical,,,
"I may tell pale-hearted fear it lies, And sleep in spite of thunder.","I may tell pale hearted fear it lies, And sleep in spite of thunder.",0 0 1 1 1 1 0 1 0 1 0 1 0 1,language,medicine,anatomy,emotions,sleep,resistance,nature
"Be lion-mettled, proud, and take no care Who chafes, who frets, or where conspirers are:","Be lion mettled, proud, and take no care Who chafes, who frets, or where conspirers are",0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0,animals,character traits & nature,feelings,fire,language,politics,
"Rebellion's head, rise never","Rebellion's head, rise never",1 1 1 1,social unrest,anatomy,physical activities,time,,,
"Macbeth Shall live the lease of nature, ","Macbeth Shall live the lease of nature, ",0 0 1 0 1 0 1,life,judiciary,nature,,,,
pay his breath To time and mortal custom.,pay his breath To time and mortal custom.,1 1 1 1 1 1 1 1,economics,breathing,time,life,etiquette,,
my heart Throbs to know,my heart Throbs to know,0 1 1 0 1,anatomy,violence,mental faculty & state,,,,
"Show his eyes, and grieve his heart; ","Show his eyes, and grieve his heart ",1 0 1 0 1 0 1,discovering,anatomy,emotions,,,,
"Come [apparitions] like shadows, so depart!","Come [apparitions] like shadows, so depart!",1 1 0 1 0 1,movement,mystical,darkness,privation,,,
"Thy crown does sear mine eye-balls. And thy hair, Thou other gold-bound brow, is like the first [heir].","Thy crown does sear mine eye balls. And thy hair, Thou other gold bound brow, is like the first [heir].",0 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1,politics,violence,anatomy,materials,familial,,
the line stretch out to the crack of doom,the line stretch out to the crack of doom,0 1 1 0 0 0 1 1 1,spatial,nature,religion,,,,
Our duties did his welcome pay.,Our duties did his welcome pay.,0 1 0 0 1 1,devotion,etiquette,economics,,,,
this pernicious hour Stand aye accursed in the calendar!,this pernicious hour Stand aye accursed in the calendar!,0 1 1 0 0 1 0 0 1,destruction,time,religion,,,,
Infected be the air whereon they [witches] ride;,Infected be the air whereon they [witches] ride,1 0 0 1 0 1 1 1,medicine,nature,mystical,equestrian,,,
"Time, thou anticipatest my dread exploits [murders]:","Time, thou anticipatest my dread exploits [murders]",1 0 1 0 0 1 1,time,mental faculty & state,violence,,,,
The flighty purpose never is o'ertook Unless the deed go with it;,The flighty purpose never is o'ertook Unless the deed go with it,0 1 1 1 0 1 0 0 1 1 1 0,animals,mental faculty & state,time,hunting,physical activities,social relations,
The very firstlings of my heart shall be The firstlings of my hand. ,The very firstlings of my heart shall be The firstlings of my hand. ,0 0 1 0 0 1 0 0 0 1 0 0 1,familial,anatomy,,,,,
"To crown my thoughts with acts, ","To crown my thoughts with acts, ",0 1 0 1 0 1,politics,mental faculty & state,physical activities,,,,
boasting like a fool;,boasting like a fool,1 0 0 1,language,mental faculty & state,,,,,
This deed [murder] I'll do before this purpose cool.,This deed [murder] I'll do before this purpose cool.,0 1 1 0 0 0 0 1 1,violence,mental faculty & state,temperature,,,,
He loves us not; He wants the natural touch: ,He loves us not He wants the natural touch ,0 1 0 0 0 1 0 0 1,emotions,privation,sensations,,,,
"the poor wren, The most diminutive of birds, will fight, Her young ones in her nest, against the owl.","the poor wren, The most diminutive of birds, will fight, Her young ones in her nest, against the owl.",0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1,animals,size,violence,life's cycle,accomodation,,
The fits o'th' season.,The fits o'th' season.,0 1 0 1,medicine,time,,,,,
"when we hold rumour From what we fear, yet know not what we fear, But float upon a wild and violent sea","when we hold rumour From what we fear, yet know not what we fear, But float upon a wild and violent sea",0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 1,language,emotions,mental faculty & state,nautical,violence,nature,
"Things at the worst will cease, or else climb upward To what they were before. ","Things at the worst will cease, or else climb upward To what they were before. ",0 0 0 1 0 1 0 0 1 1 0 0 0 0 1,suffering,hindrance,physical activity,spatial,time,,
"[live] As birds do, ","[live] As birds do, ",1 0 1 0,life,animals,,,,,
"Poor bird! thou'ldst never fear the net nor lime, The pitfall nor the gin.","Poor bird! thou'ldst never fear the net nor lime, The pitfall nor the gin.",0 1 0 1 1 0 1 0 1 0 1 0 0 1,animals,time,emotions,hunting,,,
I can buy me twenty [husbands] at any market.,I can buy me twenty [husbands] at any market.,0 0 1 0 1 1 0 0 1,economics,quantities,matrimony,,,,
Then you'll buy 'em [husbands] to sell again.,Then you'll buy 'em [husbands] to sell again.,0 0 1 0 1 0 1 0,economics,matrimony,,,,,
"thee [son], poor monkey!","thee [son], poor monkey!",1 1 0 1,familial,animals,,,,,
"Do I put up that womanly defence, To say I have done no harm?","Do I put up that womanly defence, To say I have done no harm?",0 0 1 1 0 1 1 0 1 0 0 0 0 1,judiciary,women,language,violence,,,
you egg! Young fry of treachery!,you egg! Young fry of treachery!,0 1 1 1 0 1,animals,life's cycle,politics,,,,
Weep our sad bosoms empty.,Weep our sad bosoms empty.,1 0 1 1 1,emotions,anatomy,privation,,,,
like good men Bestride our down-fall'n birthdom: ,like good men Bestride our down fall'n birthdom ,0 1 1 1 0 1 1 1,ethics,military,death,politics,,,
"new sorrows Strike heaven on the face, ","new sorrows Strike heaven on the face, ",0 1 1 1 0 0 1,emotions,violence,religion,anatomy,,,
that it [sorrow] resounds As if it [heaven] felt with Scotland ,that it [sorrow] resounds As if it [heaven] felt with Scotland ,0 1 1 1 0 0 1 1 1 0 1,emotions,sounds,suffering,religion,politics,,
and [heaven] yell'd out Like syllable of dolour.,and [heaven] yell'd out Like syllable of dolour.,0 1 1 0 0 1 0 1,religion,sounds,language,suffering,,,
"what I can redress, As I shall find the time to friend, I will.","what I can redress, As I shall find the time to friend, I will.",0 0 0 1 0 0 0 1 0 1 0 1 0 0,judiciary,discovering,time,social relations,,,
"This tyrant, whose sole name blisters our tongues,","This tyrant, whose sole name blisters our tongues,",0 1 0 0 1 1 0 1,politics,language,medicine,anatomy,,,
offer up a weak poor innocent lamb To appease an angry god.,offer up a weak poor innocent lamb To appease an angry god.,1 0 0 1 0 1 1 0 1 0 1 1,devotion,physical attributes,judiciary,animals,emotions,religion,
"Though all things foul would wear the brows of grace, Yet grace must still look so.","Though all things foul would wear the brows of grace, Yet grace must still look so.",0 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1,ethics,clothes,anatomy,religion,appearance,,
strong knots of love,strong knots of love,0 1 0 1,clothes,emotions,,,,,
"Bleed, bleed, poor country!","Bleed, bleed, poor country!",1 1 0 1,medicine,politics,,,,,
wear thou thy wrongs;,wear thou thy wrongs,1 0 0 1,clothes,ethics,,,,,
"the whole space that's in the tyrant's grasp, And the rich East to boot.","the whole space that's in the tyrant's grasp, And the rich East to boot.",0 0 1 0 0 0 1 1 0 0 1 1 0 1,spatial,politics,adhesion,economics,geography,,
I think our country sinks beneath the yoke; ,I think our country sinks beneath the yoke ,0 0 0 1 1 0 0 1,politics,consumption,agriculture,,,,
"It [our country] weeps, it bleeds; and each new day a gash Is added to her wounds:","It [our country] weeps, it bleeds and each new day a gash Is added to her wounds",0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1,politics,emotions,violence,time,injuries,,
hands uplifted in my right;,hands uplifted in my right,1 1 0 0 1,anatomy,spatial,politics,,,,
"the particulars of vice so grafted That, when they shall be open'd, black Macbeth [king] Will seem as pure as snow,","the particulars of vice so grafted That, when they shall be open'd, black Macbeth [king] Will seem as pure as snow,",0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1,ethics,agriculture,spatial,colors,politics,cleaning,nature
"the poor state Esteem him [king] as a lamb, being compared With my confineless harms.","the poor state Esteem him [king] as a lamb, being compared With my confineless harms.",0 0 1 1 1 1 0 0 1 0 0 0 0 1 1,politics,animals,mental faculty & state,spatial,violence,,
"there's no bottom, none, In my voluptuousness: ","there's no bottom, none, In my voluptuousness ",0 0 1 0 0 0 1,spatial,sexuality,,,,,
"Your wives, your daughters, Your matrons and your maids, could not fill up The cistern of my lust","Your wives, your daughters, Your matrons and your maids, could not fill up The cistern of my lust",0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1,matrimony,familial,women,social status,sexuality,food,
Boundless intemperance In nature is a tyranny; it hath been Th'untimely emptying of the happy throne And fall of many kings.,Boundless intemperance In nature is a tyranny it hath been Th'untimely emptying of the happy throne And fall of many kings.,1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1,spatial,character traits & nature,politics,time,consumption,emotions,destruction
Convey your pleasures in a spacious plenty And yet seem cold. ,Convey your pleasures in a spacious plenty And yet seem cold. ,0 0 1 0 0 1 1 0 0 0 1,sexuality,spatial,quantities,temperature,,,
The time you may so hoodwink.,The time you may so hoodwink.,0 1 0 0 0 1,time,concealment,,,,,
"We have willing dames enough: there cannot be That vulture in you, to devour so many","We have willing dames enough there cannot be That vulture in you, to devour so many",0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0,sexuality,women,animals,food,,,
my more-having would be as a sauce To make me hunger more that I should forge Quarrels unjust ,my more having would be as a sauce To make me hunger more that I should forge Quarrels unjust ,0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1,economics,food,deception,violence,ethics,,
"This avarice Sticks deeper, grows with more pernicious root Than summer-seeming lust, ","This avarice Sticks deeper, grows with more pernicious root Than summer seeming lust, ",0 1 1 1 1 0 0 1 1 0 1 1 1,economics,violence,spatial,nature,destruction,sexuality,
and it [avarice] hath been The sword of our slain kings:,and it [avarice] hath been The sword of our slain kings,0 1 1 0 0 0 1 0 0 1 1,economics,weapons,violence,politics,,,
"all these [vices] are portable, With other graces weigh'd.","all these [vices] are portable, With other graces weigh'd.",0 1 1 0 1 0 0 1 1,ethics,suffering,character traits & nature,weight,,,
"the king-becoming graces, […virtues] I have no relish of them,","the king becoming graces, […virtues] I have no relish of them,",0 1 1 1 1 0 0 0 1 0 0,politics,etiquette,character traits & nature,food,,,
"Pour the sweet milk of concord into hell, ","Pour the sweet milk of concord into hell, ",1 0 1 1 0 1 0 1,consumption,food,politics,religion,,,
"Uproar the universal peace, confound All unity on earth.","Uproar the universal peace, confound All unity on earth.",1 0 0 1 1 0 1 0 1,social unrest,politics,mental faculty & state,spatial,nature,,
"nation miserable, With an untitled tyrant bloody-scepter'd, When shalt thou see thy wholesome days again,","nation miserable, With an untitled tyrant bloody scepter'd, When shalt thou see thy wholesome days again,",1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 0,politics,suffering,social status,violence,sensations,medicine,time
"upon her [queen] knees than on her feet, Died every day she lived. ","upon her [queen] knees than on her feet, Died every day she lived. ",0 1 1 1 0 0 0 1 1 1 1 0 1,politics,anatomy,death,time,life,,
These evils thou repeat'st upon thyself Have banish'd me from Scotland,These evils thou repeat'st upon thyself Have banish'd me from Scotland,0 1 0 1 0 0 0 1 0 0 1,ethics,language,politics,,,,
"O my breast, Thy hope ends here!","O my breast, Thy hope ends here!",0 0 1 0 1 1 0,anatomy,emotions,destruction,,,,
"this noble passion, Child of integrity, ","this noble passion, Child of integrity, ",0 1 1 1 0 1,character traits & nature,emotions,familial,ethics,,,
"[passion] hath from my soul Wiped the black scruples, ","[passion] hath from my soul Wiped the black scruples, ",1 0 0 0 1 1 0 1 1,emotions,religion,cleaning,colors,ethics,,
Devilish Macbeth [king] By many of these trains hath sought to win me Into his power,Devilish Macbeth [king] By many of these trains hath sought to win me Into his power,1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1,religion,politics,deception,,,,
modest wisdom plucks me From over-credulous haste,modest wisdom plucks me From over credulous haste,1 1 1 0 0 1 1 1,character traits & nature,violence,mental faculty & state,speed,,,
"abjure The taints and blames I laid upon myself, For strangers to my nature. ","abjure The taints and blames I laid upon myself, For strangers to my nature. ",1 0 1 0 1 0 0 0 0 0 1 0 0 1,judiciary,cleaning,social relations,character traits & nature,,,
the chance of goodness [victory] Be like our warranted quarrel!,the chance of goodness [victory] Be like our warranted quarrel!,0 1 0 1 1 0 0 0 1 1,luck,military,judiciary,violence,,,
Tis [disease] call'd the evil:,Tis [disease] call'd the evil,1 1 0 0 1,medicine,ethics,,,,,
"sundry blessings hang about his throne,","sundry blessings hang about his throne,",0 1 1 0 0 1,religion,adhesion,politics,,,,
poor country! Almost afraid to know itself. ,poor country! Almost afraid to know itself. ,0 1 0 1 0 1 0,politics,emotions,mental faculty & state,,,,
"It [country] cannot Be call'd our mother, but our grave;","It [country] cannot Be call'd our mother, but our grave",1 1 0 0 1 0 1 0 0 1,politics,language,familial,death,,,
sighs and groans and shrieks that rend the air,sighs and groans and shrieks that rend the air,1 0 1 0 1 0 1 0 1,sounds,violence,nature,,,,
violent sorrow seems A modern ecstasy;,violent sorrow seems A modern ecstasy,1 1 0 0 1 1,violence,emotions,time,mental faculty & state,,,
"good men's lives Expire before the flowers in their caps,","good men's lives Expire before the flowers in their caps,",1 1 1 1 0 0 1 0 0 1,ethics,death,nature,clothes,,,
That [grief] of an hour's age doth hiss the speaker: Each minute teems a new one.,That [grief] of an hour's age doth hiss the speaker Each minute teems a new one.,0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0,emotions,time,life's cycle,sounds,language,reproduction,
Be not a niggard of your speech:,Be not a niggard of your speech,0 0 0 1 0 0 1,economics,language,,,,,
"to transport the tidings, Which I have heavily borne","to transport the tidings, Which I have heavily borne",0 1 0 1 0 0 0 1 1,labor,language,weight,,,,
"your eye in Scotland Would create soldiers, ","your eye in Scotland Would create soldiers, ",0 1 0 1 0 0 1,anatomy,politics,military,,,,
make our women fight To doff their dire distresses.,make our women fight To doff their dire distresses.,0 0 1 1 0 1 0 0 1,women,violence,clothes,suffering,,,
gracious England hath Lent us good Siward and ten thousand men [soldiers];,gracious England hath Lent us good Siward and ten thousand men [soldiers],0 1 0 1 0 0 0 0 1 1 1 1,politics,economics,quantities,military,,,
"I have words That would be howl'd out in the desert air, Where hearing should not latch them.","I have words That would be howl'd out in the desert air, Where hearing should not latch them.",0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0,language,sounds,nature,sensations,adhesion,,
a fee-grief Due to some single breast.,a fee grief Due to some single breast.,0 1 1 0 0 0 0 1,economics,emotions,anatomy,,,,
"let not your ears despise my tongue for ever, ","let not your ears despise my tongue for ever, ",1 1 0 1 1 0 1 1 1,resistance,anatomy,derision,time,,,
Which [tongue] shall possess them [ears] with the heaviest sound That ever yet they heard.,Which [tongue] shall possess them [ears] with the heaviest sound That ever yet they heard.,1 1 0 1 1 1 0 0 1 1 0 1 0 0 1,anatomy,adhesion,weight,sounds,time,sensations,
"to relate the manner [of death], Were, on the quarry of these murder'd deer, To add the death of you.","to relate the manner [of death], Were, on the quarry of these murder'd deer, To add the death of you.",0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0,language,death,violence,animals,quantities,,
Give sorrow words,Give sorrow words,0 1 1,emotions,language,,,,,
The grief that does not speak Whispers the o'er-fraught heart and bids it break.,The grief that does not speak Whispers the o'er fraught heart and bids it break.,0 1 0 0 0 1 1 0 1 1 1 0 1 0 1,emotions,language,sounds,labor,anatomy,commands,destruction
"Let's make us medicines of our great revenge, To cure this deadly grief.","Let's make us medicines of our great revenge, To cure this deadly grief.",0 0 0 1 0 0 0 1 0 1 0 1 1,medicine,violence,death,emotions,,,
[king] hell-kite!,[king] hell kite!,1 1 1,politics,religion,animals,,,,
all my [father] pretty chickens and their dam at one fell swoop?,all my [father] pretty chickens and their dam at one fell swoop?,0 1 1 0 1 0 0 1 0 0 1 1,familial,animals,violence,,,,
Dispute it [grief] like a man.,Dispute it [grief] like a man.,1 1 1 0 0 1,language,emotions,men,,,,
I must also feel it as a man.,I must also feel it as a man.,0 0 0 1 0 0 0 1,emotions,men,,,,,
"Did heaven look on, And would not take their part?","Did heaven look on, And would not take their part?",0 1 1 1 0 0 0 1 1 1,religion,sensations,theatre,,,,
"Be this the whetstone of your sword: let grief Convert to anger; blunt not the heart, enrage it.","Be this the whetstone of your sword let grief Convert to anger blunt not the heart, enrage it.",0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0,weapons,emotions,transformation,anatomy,consumption,,
I could play the woman with mine eyes And braggart with my tongue!,I could play the woman with mine eyes And braggart with my tongue!,0 0 1 0 1 0 0 1 0 1 0 0 1,theatre,women,anatomy,language,,,
"gentle heavens, Cut short all intermission. ","gentle heavens, Cut short all intermission. ",0 1 1 1 0 1,religion,violence,time,,,,
this fiend of Scotland and myself; ,this fiend of Scotland and myself ,0 1 0 1 0 0,religion,politics,,,,,
This time goes manly.,This time goes manly.,0 1 0 1,time,men,,,,,
Macbeth Is ripe for shaking.,Macbeth Is ripe for shaking.,1 0 1 0 1,politics,agriculture,violence,,,,
their [eyes] sense are shut.,their [eyes] sense are shut.,0 1 1 0 1,anatomy,sensations,hindrance,,,,
all the perfumes of Arabia will not sweeten this little hand.,all the perfumes of Arabia will not sweeten this little hand.,0 0 1 0 1 0 0 1 0 0 1,sensations,geography,anatomy,,,,
The heart is sorely charged.,The heart is sorely charged.,0 1 0 1 1,anatomy,suffering,labor,,,,
I would not have such a heart in my bosom for the dignity of the whole body.,I would not have such a heart in my bosom for the dignity of the whole body.,0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1,anatomy,character traits & nature,,,,,
unnatural deeds Do breed unnatural troubles:,unnatural deeds Do breed unnatural troubles,1 1 0 1 1 1,nature,physical activities,reproduction,suffering,,,
infected minds to their deaf pillows wil discharge their secrets,infected minds to their deaf pillows wil discharge their secrets,1 1 0 0 1 1 0 1 0 1,medicine,mental faculty & state,deformities,sleep,privation,concealment,
Revenges burn in them;,Revenges burn in them,1 1 0 0,violence,light,,,,,
dear causes Would to the bleeding and the grim alarm Excite the mortified man [soldiers].,dear causes Would to the bleeding and the grim alarm Excite the mortified man [soldiers].,0 1 0 0 0 1 0 0 0 1 1 0 1 1 1,politics,injuries,military,sleep,death,,
He cannot buckle his distempered cause Within the belt of rule.,He cannot buckle his distempered cause Within the belt of rule.,0 0 1 0 1 1 0 0 1 0 1,clothes,medicine,politics,,,,
His secret murders sticking on his hands;,His secret murders sticking on his hands,0 1 1 1 0 0 1,concealment,violence,adhesion,anatomy,,,
"his title Hang loose about him, like a giant's robe Upon a dwarfish thief.","his title Hang loose about him, like a giant's robe Upon a dwarfish thief.",0 1 1 1 0 0 0 0 1 1 0 0 1 1,politics,adhesion,clothes,deformities,economics,,
"Who then shall blame His pester'd senses to recoil and start, When all that is within him does condemn Itself for being there?","Who then shall blame His pester'd senses to recoil and start, When all that is within him does condemn Itself for being there?",0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0,judiciary,sensations,emotions,spatial,,,
"Meet we [soldiers] the medicine of the sickly weal, And with him pour we in our country's purge Each drop of us.","Meet we [soldiers] the medicine of the sickly weal, And with him pour we in our country's purge Each drop of us.",0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0,military,medicine,politics,death,,,
To dew the sovereign flower and drown the weeds.,To dew the sovereign flower and drown the weeds.,0 1 0 1 1 0 1 0 1,nature,politics,violence,agriculture,,,
"The mind I sway by, and the heart I bear, Shall never sag with doubt, nor shake with fear.","The mind I sway by, and the heart I bear, Shall never sag with doubt, nor shake with fear.",0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1,mental faculty & state,politics,anatomy,labor,consumption,violence,emotions
